,DISTRICT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
0,ADILABAD,4154,4675,4881,5011,5033,6122,5685,5300,5312,4955,5121,5710,6381
1,ANANTAPUR,4125,4467,4582,4296,4545,5090,5182,5734,5181,5854,5430,5441,6913
2,CHITTOOR,5818,6306,6624,6960,6746,6440,7095,7307,7268,5218,5224,4465,5610
3,CUDDAPAH,3140,3324,3447,4107,4072,5298,5500,6605,5510,5694,5340,6110,7048
4,EAST GODAVARI,6507,7931,7616,7741,8262,9056,8580,8435,8660,6349,7111,6945,6779
5,GUNTAKAL RLY.,287,310,368,338,225,221,175,171,214,287,297,339,301
6,GUNTUR,7848,7883,7715,8544,7736,9080,8659,8911,9806,6512,7026,7371,7026
7,HYDERABAD CITY,11831,14413,20252,18868,17276,17295,17391,18567,17840,17549,15657,15992,16355
8,KARIMNAGAR,5811,7086,7709,8048,8875,8141,8535,8337,7902,8320,8973,8991,8836
9,KHAMMAM,4582,5646,5179,5928,5757,5961,6215,5834,6228,5571,5961,6041,10607
10,KRISHNA,4779,5318,5283,5377,5335,5267,5178,5528,5893,5819,6857,7211,6876
11,KURNOOL,4581,4684,4775,5372,5266,5823,6159,7835,8002,7258,7441,6687,7595
12,MAHABOOBNAGAR,4819,5354,5390,4545,5624,6320,6389,6661,6972,6704,6675,6485,8092
13,MEDAK,3532,4208,4818,4789,4024,5602,6070,5989,5887,5269,5669,6070,7054
14,NALGONDA,5002,5290,5651,6009,6570,7933,7960,8026,8617,7736,7640,8934,10291
15,NELLORE,5245,5240,5952,7047,5283,5805,5991,6118,5867,5779,6294,6854,7326
16,NIZAMABAD,3621,4417,4674,4804,5059,5812,5178,5709,4890,5815,6391,5542,7662
17,PRAKASHAM,3678,3636,3720,3881,4343,5776,5655,5453,6125,5442,5980,6675,6399
18,RANGA REDDY,9867,10602,1980,2240,2127,2028,2170,2419,2042,1676,1792,2094,2191
19,SECUNDERABAD RLY.,439,444,536,465,508,311,445,476,588,462,573,916,849
20,SRIKAKULAM,2572,2486,2663,2821,2686,3016,3898,3908,3354,4910,4161,3818,4841
21,VIJAYAWADA RLY.,320,410,430,359,316,339,373,417,592,449,479,732,773
22,VISAKHA RURAL,3183,2669,2599,2903,2687,3235,3278,3107,2738,3312,3468,2733,3238
23,VISAKHAPATNAM,3422,2838,3261,3182,4455,5478,5480,5015,5416,7112,4886,4626,6775
24,VIZIANAGARAM,2178,2432,2150,2464,2560,2955,3256,3142,3451,3862,4818,4482,4918
25,WARANGAL,6319,6397,6827,7717,6683,7879,7333,6758,7479,2717,4516,4722,5421
26,WEST GODAVARI,5696,6061,7480,7370,7200,7538,7434,8213,8586,8273,8311,7867,8498
27,CHANGLANG,163,180,145,162,148,153,171,199,207,249,201,223,189
28,DIBANG VALLEY,139,178,116,112,128,135,101,133,115,119,90,78,91
29,KAMENG EAST,126,126,101,100,104,124,110,144,163,141,102,140,169
30,KAMENG WEST,103,84,83,104,111,113,104,97,137,131,118,112,164
31,LOHIT,190,169,189,180,158,173,206,159,170,176,158,226,330
32,PAPUM PARE,498,383,405,440,496,556,576,541,456,444,553,505,600
33,SIANG EAST,243,264,232,292,313,245,239,179,222,240,235,170,217
34,SIANG UPPER,56,44,55,51,80,85,76,55,55,53,55,51,69
35,SIANG WEST,361,331,257,329,230,250,218,276,243,237,210,218,263
36,SUBANSIRI LOWER,148,152,123,95,119,111,123,135,127,113,78,136,109
37,SUBANSIRI UPPER,140,132,118,138,180,152,141,162,136,164,136,168,164
38,TAWANG,48,44,49,75,48,49,46,42,44,40,49,46,47
39,TIRAP,127,141,146,122,114,99,101,141,166,140,143,187,93
40,BARPETA,1778,1527,1644,1543,1981,1877,2039,2539,2496,3030,2962,4764,8597
41,BONGAIGAON,810,818,772,1142,825,652,1110,1219,1253,1407,1504,1381,1565
42,C.I.D.,8,52,24,22,15,18,26,24,22,51,57,65,58
43,CACHAR,3462,3520,3457,3518,3930,3817,3677,4869,4601,4505,4286,4658,4880
44,DARRANG,1454,861,1400,1653,1156,1391,1322,1493,2321,2598,2622,2607,2459
45,DHEMAJI,652,689,762,838,943,1025,1154,1326,1016,1091,1092,1107,1397
46,DHUBRI,1505,1721,1920,2160,2285,2629,3257,3242,3291,4289,4244,4633,6857
47,DIBRUGARH,1565,1642,1901,2074,2095,2069,1906,2343,2155,2406,2529,2997,3529
50,G.R.P.,4352,4039,3278,2916,2002,1683,2153,2632,2248,3933,5116,2782,4169
51,GOALPARA,873,959,1098,1053,1162,1063,1131,1319,1776,2290,2203,2415,2322
